p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.7119770650978569e-34,0.8113761178192429,0.775,0.595,6.2660072559646656e-30,0,SRSF3
1.7233732737061259e-34,1.467906105323899,0.41,0.182,6.307718519091791e-30,0,SOCS1
7.835956874427772e-34,0.6703167441111446,0.744,0.478,2.868038575609309e-29,0,IFRD1
2.4557725487380786e-32,1.5201598633941285,0.339,0.134,8.988373105636242e-28,0,MEPCE
1.6666118588063934e-31,0.7260550476082586,0.837,0.627,6.0999660644172804e-27,0,TUBA1A
1.677017809778243e-31,0.8498730201839595,0.848,0.732,6.1380528855693476e-27,0,CD69
1.0280956866554605e-30,1.2835800406328248,0.442,0.223,3.762933022727651e-26,0,AC087239.1
1.5270152847126872e-30,1.2951178036656028,0.494,0.273,5.589028643576906e-26,0,C9orf72
7.446720469148102e-30,1.077120757760239,0.543,0.314,2.7255741589128967e-25,0,SPTAN1
1.8611290576175194e-29,1.1659665387552323,0.545,0.324,6.8119184637858825e-25,0,SLC38A2
3.2272917015051702e-28,0.48611058032376553,0.92,0.851,1.1812210356679074e-23,0,BTG1
8.52736732066929e-28,0.7366234971469625,0.739,0.581,3.1211017130381666e-23,0,SRSF2
1.2070846402141348e-27,1.0647815624363748,0.456,0.241,4.418050491647755e-23,0,SKIL
2.705451467844546e-27,0.40276472239312033,0.933,0.909,9.902222917457823e-23,0,PNRC1
1.9298176564444168e-26,1.3908249807044757,0.275,0.105,7.06332560435221e-22,0,LINC01004
3.0316475177057376e-26,1.522750844906665,0.409,0.202,1.109613307955477e-21,0,CCDC200
3.746836661935535e-26,0.6267699598814209,0.819,0.651,1.3713796866350252e-21,0,EIF4A2
7.806533577805534e-26,0.8333135718838967,0.706,0.5,2.8572693548126034e-21,0,CREB1
3.0371151984697147e-25,1.3279789802106783,0.378,0.184,1.1116145337919002e-20,0,TMEM107
3.129807093102033e-25,0.5166497365083242,0.915,0.791,1.1455406941462751e-20,0,HSP90AA1
4.61982863796902e-25,1.5938134997317759,0.293,0.123,1.690903479783041e-20,0,ATF3
6.903191075341275e-25,0.49517709124442666,0.979,0.911,2.52663696548566e-20,0,HLA-DQA1
1.928760007858897e-24,1.2185449616934443,0.393,0.201,7.05945450476435e-20,0,NEU1
1.9406476893538403e-24,1.329186127296596,0.302,0.129,7.102964607803991e-20,0,DDIT4
6.766444939387753e-24,0.9557894260795141,0.444,0.25,2.4765865122653115e-19,0,BICRAL
7.755941560516895e-24,0.47832579350175397,0.911,0.835,2.8387521705647886e-19,0,TRA2B
8.0087633115377607e-24,0.9314766446637422,0.516,0.304,2.9312874596559357e-19,0,TSPYL2
1.3829655937032732e-23,0.6004980813165233,0.754,0.553,5.06179236951335e-19,0,CSRNP1
2.5726164786408918e-23,1.1946868910406705,0.36,0.177,9.416033573473529e-19,0,ZC3H12A
2.796258437903415e-23,1.4410500298226616,0.284,0.122,1.0234585508570288e-18,0,AC022217.3
5.749711960711732e-23,1.2740194665517783,0.321,0.152,2.104452074740101e-18,0,CKS2
5.89711994690639e-23,0.702233512071342,0.698,0.501,2.1584048717672077e-18,0,BRD2
